COBACIA,ire_cs_hum
7775699,"0,00"
7775698,"0,00"
777466,"0,00"
777467,"0,00"
77756952,"0,00"
7775697,"0,00"
77756951,"0,00"
77756953,"0,00"
77612891,"3,40"
7761288,"4,10"
77612893,"4,10"
77612892,"0,00"
77634663,"0,00"
77612943,"4,10"
7763468,"0,00"
7761292,"0,00"
77612942,"4,10"
77634662,"0,00"
77612821,"0,00"
7761287,"4,10"
77612822,"0,00"
77612823,"0,00"
77612852,"0,00"
7763298,"0,00"
7763299,"0,00"
7761286,"4,10"
77632444,"0,00"
77612853,"4,10"
77632447,"0,00"
7761498,"0,00"
77612851,"0,00"
77614976,"0,00"
77632446,"0,00"
77612833,"0,00"
7761284,"0,00"
77612831,"0,00"
77612832,"0,00"
77614975,"0,00"
77612941,"4,10"
77612961,"0,00"
77612964,"0,00"
77612962,"0,00"
77634692,"0,00"
77612963,"0,00"
7775611,"4,10"
777558,"4,10"
777572,"4,10"
7775612,"4,10"
77756322,"0,00"
77756321,"0,00"
77756324,"0,00"
77756325,"0,00"
77756323,"0,00"
7775634,"0,00"
7775633,"0,00"
77758232,"5,00"
77758236,"0,00"
77756327,"0,00"
7775561,"4,10"
7775621,"0,00"
7775613,"4,10"
7775631,"0,00"
7775542,"0,00"
7775562,"0,00"
7775563,"4,10"
77756222,"0,00"
77756326,"4,10"
77758242,"0,00"
77758243,"0,00"
77756532,"0,00"
7775652,"0,00"
7775637,"4,10"
7775639,"4,10"
77756363,"0,00"
77756362,"0,00"
77756531,"0,00"
7775651,"0,00"
7775635,"0,00"
77756361,"0,00"
7775638,"4,10"
7775641,"0,00"
7775625,"0,00"
7775623,"0,00"
7775626,"0,00"
7775624,"0,00"
77756421,"0,00"
7775645,"0,00"
77756223,"0,00"
77756221,"0,00"
77756227,"0,00"
77756226,"4,40"
77756225,"0,00"
7775543,"4,40"
77756224,"0,00"
7778556,"4,10"
7778554,"4,10"
7778525,"4,40"
7778563,"4,10"
777846,"0,00"
7778524,"0,00"
7778553,"0,00"
7778557,"4,10"
7778555,"0,00"
7778565,"4,10"
7778564,"0,00"
7778582,"4,10"
7778562,"0,00"
777847,"4,40"
7778559,"0,00"
7778561,"4,10"
7778558,"0,00"
7778571,"4,10"
7771343,"3,10"
7771471,"2,40"
7771327,"1,70"
77712121,"3,80"
7771211,"3,80"
7771321,"3,10"
7771213,"0,00"
7771312,"0,00"
77712123,"0,00"
77712124,"0,00"
77712122,"0,00"
77712125,"0,00"
7771462,"0,00"
7771463,"0,00"
777122442,"0,00"
77713892,"3,80"
7771326,"0,00"
777145,"3,10"
7771464,"0,00"
777144,"0,00"
7771429,"0,00"
7771465,"5,00"
777122443,"3,80"
77713891,"0,00"
7771461,"3,80"
7771388,"0,00"
77713893,"3,80"
777143,"0,00"
777122441,"0,00"
777122472,"3,80"
7771473,"5,00"
77712243,"0,00"
77712249,"3,80"
777122473,"0,00"
7771472,"0,00"
77712245,"0,00"
77712248,"3,80"
7771228,"0,00"
777122471,"0,00"
7771421,"0,00"
7771422,"3,80"
7771428,"0,00"
7771427,"3,80"
77712246,"0,00"
77712271,"0,00"
77712273,"0,00"
7771229,"5,00"
77712224,"0,00"
77712264,"0,00"
77712251,"0,00"
77712221,"0,00"
77712225,"0,00"
77712272,"0,00"
77712263,"0,00"
77712222,"0,00"
77712253,"0,00"
77712265,"0,00"
77712262,"0,00"
77712268,"3,80"
7771223,"0,00"
77712261,"0,00"
77712267,"0,00"
7771323,"0,00"
77712241,"0,00"
77712223,"0,00"
7771324,"0,00"
77712242,"0,00"
7771267,"3,80"
77712655,"3,80"
77712269,"3,80"
77712661,"3,80"
77712651,"0,00"
77712528,"0,00"
77712662,"0,00"
77712654,"0,00"
77712663,"0,00"
7771299,"2,40"
77712652,"0,00"
776137862,"4,00"
77613726,"0,00"
7771294,"2,39"
77712653,"0,00"
777125292,"0,00"
776137863,"4,00"
77613727,"0,00"
7771268,"0,00"
777125293,"0,00"
77712266,"0,00"
77613788,"0,00"
77712694,"0,00"
77712692,"0,00"
77712693,"0,00"
77712691,"0,00"
77712526,"0,00"
77712763,"0,00"
7771262,"0,00"
7771264,"0,00"
77712963,"0,00"
77712972,"1,70"
77712761,"0,00"
77712742,"0,00"
7771291,"0,00"
7771292,"0,00"
77712961,"0,00"
7771295,"0,00"
7771293,"0,00"
