cod_mun,Município,UF,Area equipada total   ,area_arroz,Area equipada por irrigação por Municipio (Café),Area equipada por Municipio (cana de açucar, Irrigada e Fertirrigada),Area equipada por irrigação por Municipio (Outras culturas),Area potencial de ser colhida irrigada por municipio por cultura  (Arroz ),Area potencial de ser colhida irrigada por municipio por cultura  (Café),Area potencial de ser colhida irrigada por municipio por cultura (Cana),Area potencial de ser colhida irrigada por municipio por cultura (Outras Culturas),Area potencial de ser colhida irrigada por municipio por cultura ,Valor da produção total do município (1000 R$) do Arroz ,Valor da produção total do município (1000 R$) do Café ,Valor da produção total do município (1000 R$) da cana de açucar (Irrigada e Fertirrigada) ,Valor da produção total do município (1000 R$) de Outras Culturas ,Valor da produção total do município (1000 R$) ,Area Colhida por municipio (ha) de arroz ,Area Colhida por municipio (ha) Café ,Area Colhida por municipio (ha) cana de açucar (Irrigada e Fertirrigada),Area Colhida  por municipio (ha) Outras Culturas  ,Area Colhida total  (ha) por municipio ,taxa_arroz,Taxa regional media de produção de Café (1000R$/ha) ,Taxa regional media de produção de Cana (1000R$/ha) ,Taxa regional media de produção de Demais culturas (1000R$/ha) ,Taxa regional media de produção (1000R$/ha) ,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Produção irrigada por Municipio (1000 R$)
3130200,Igaratinga,MG,44,0,0,0,44,0,0,0,110,110,-,-,-,"R$ 441,00","R$ 441,00",-,-,-,75,75,0,0,0,"5,88","5,88","R$ 0,00","R$ 0,00","R$ 0,00","R$ 646,80","R$ 646,80",
3130309,Iguatama,MG,765,0,0,86,678,0,0,86,1695,1781,-,-,"R$ 66.185,00","R$ 69.886,00","R$ 136.071,00",-,-,6860,13715,20575,0,0,"9,647959184","5,095588771","6,613414338","R$ 0,00","R$ 0,00","R$ 829,72","R$ 8.637,02","R$ 9.466,75",
3130408,Ijaci,MG,55,0,10,0,45,0,10,0,"112,5","122,5",-,"R$ 8.815,00","R$ 81,00","R$ 5.123,00","R$ 14.019,00",-,200,10,713,923,0,"44,075","8,1","7,18513324","15,18851571","R$ 0,00","R$ 440,75","R$ 0,00","R$ 808,33","R$ 1.249,08",
3130507,Ilicínea,MG,4,0,0,0,4,0,0,0,10,10,-,"R$ 198.047,00",-,"R$ 7.415,00","R$ 205.462,00",-,6970,-,1143,8113,0,"28,41420373",0,"6,487314086","25,3250339","R$ 0,00","R$ 0,00","R$ 0,00","R$ 64,87","R$ 64,87",
3130556,Imbé de Minas,MG,356,0,0,0,356,0,0,0,890,890,-,"R$ 93.177,00",-,"R$ 20.693,00","R$ 113.870,00",-,3400,-,1282,4682,0,"27,405",0,"16,14118565","24,32080308","R$ 0,00","R$ 0,00","R$ 0,00","R$ 14.365,66","R$ 14.365,66",
3130606,Inconfidentes,MG,37,0,0,0,37,0,0,0,"92,5","92,5",-,"R$ 120.599,00",-,"R$ 11.084,00","R$ 131.683,00",-,3025,-,656,3681,0,"39,86743802",0,"16,89634146","35,7737028","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.562,91","R$ 1.562,91",
3130655,Indaiabira,MG,832,0,180,0,652,0,180,0,1630,1810,"R$ 10,00","R$ 29.109,00","R$ 2.960,00","R$ 5.682,00","R$ 37.761,00",5,540,410,1342,2297,2,"53,90555556","7,219512195","4,233979136","16,43926861","R$ 0,00","R$ 9.703,00","R$ 0,00","R$ 6.901,39","R$ 16.604,39",
3130705,Indianópolis,MG,9.057,0,5.161,0,3.896,0,5161,0,9740,14901,-,"R$ 180.771,00","R$ 99,00","R$ 273.169,00","R$ 454.039,00",-,4570,9,36054,40633,0,"39,55601751",11,"7,576662784","11,17414417","R$ 0,00","R$ 204.148,61","R$ 0,00","R$ 73.796,70","R$ 277.945,30",
3130804,Ingaí,MG,0,0,0,0,0,0,0,0,0,0,-,"R$ 15.052,00",-,"R$ 63.805,00","R$ 78.857,00",-,438,-,8210,8648,0,"34,3652968",0,"7,771619976","9,118524514","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3130903,Inhapim,MG,664,0,0,0,664,0,0,0,1660,1660,-,"R$ 91.290,00","R$ 438,00","R$ 36.923,00","R$ 128.651,00",-,3580,74,1845,5499,0,"25,5","5,918918919","20,01246612","23,39534461","R$ 0,00","R$ 0,00","R$ 0,00","R$ 33.220,69","R$ 33.220,69",
3131000,Inhaúma,MG,598,0,0,0,598,0,0,0,1495,1495,-,-,"R$ 133,00","R$ 7.582,00","R$ 7.715,00",-,-,14,1232,1246,0,0,"9,5","6,154220779","6,191813804","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.200,56","R$ 9.200,56",
3131109,Inimutaba,MG,130,0,0,0,130,0,0,0,325,325,-,-,-,"R$ 1.443,00","R$ 1.443,00",-,-,-,55,55,0,0,0,"26,23636364","26,23636364","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.526,82","R$ 8.526,82",
3131158,Ipaba,MG,0,0,0,0,0,0,0,0,0,0,-,-,"R$ 38,00","R$ 1.328,00","R$ 1.366,00",-,-,5,326,331,0,0,"7,6","4,073619632","4,126888218","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3131208,Ipanema,MG,239,0,15,0,224,0,15,0,560,575,"R$ 12,00","R$ 12.015,00","R$ 72,00","R$ 2.397,00","R$ 14.496,00",4,302,8,382,696,3,"39,78476821",9,"6,27486911","20,82758621","R$ 0,00","R$ 596,77","R$ 0,00","R$ 3.513,93","R$ 4.110,70",
3131307,Ipatinga,MG,163,0,0,0,163,0,0,0,"407,5","407,5",-,-,"R$ 17,00","R$ 800,00","R$ 817,00",-,-,2,29,31,0,0,"8,5","27,5862069","26,35483871","R$ 0,00","R$ 0,00","R$ 0,00","R$ 11.241,38","R$ 11.241,38",
3131406,Ipiaçu,MG,551,0,0,355,197,0,0,355,"492,5","847,5",-,-,"R$ 80.370,00","R$ 58.778,00","R$ 139.148,00",-,-,5000,18596,23596,0,0,"16,074","3,160787266","5,897101204","R$ 0,00","R$ 0,00","R$ 5.706,27","R$ 1.556,69","R$ 7.262,96",
3131505,Ipuiúna,MG,399,0,0,0,399,0,0,0,"997,5","997,5",-,-,-,"R$ 189.558,00","R$ 189.558,00",-,-,-,2849,2849,0,0,0,"66,53492453","66,53492453","R$ 0,00","R$ 0,00","R$ 0,00","R$ 66.368,59","R$ 66.368,59",
3131604,Iraí de Minas,MG,2.028,0,383,0,1.645,0,383,0,"4112,5","4495,5",-,"R$ 64.365,00",-,"R$ 97.474,00","R$ 161.839,00",-,1158,-,9864,11022,0,"55,58290155",0,"9,881792376","14,68326982","R$ 0,00","R$ 21.288,25","R$ 0,00","R$ 40.638,87","R$ 61.927,12",
3131703,Itabira,MG,314,0,0,0,314,0,0,0,785,785,-,"R$ 125,00","R$ 935,00","R$ 2.000,00","R$ 3.060,00",-,6,85,118,209,0,"20,83333333",11,"16,94915254","14,64114833","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13.305,08","R$ 13.305,08",
3131802,Itabirinha,MG,332,0,43,0,289,0,43,0,"722,5","765,5","R$ 5,00","R$ 4.481,00","R$ 274,00","R$ 1.291,00","R$ 6.051,00",1,159,24,101,285,5,"28,18238994","11,41666667","12,78217822","21,23157895","R$ 0,00","R$ 1.211,84","R$ 0,00","R$ 9.235,12","R$ 10.446,97",
3131901,Itabirito,MG,68,0,0,0,68,0,0,0,170,170,-,-,"R$ 369,00","R$ 1.805,00","R$ 2.174,00",-,-,45,197,242,0,0,"8,2","9,162436548","8,983471074","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.557,61","R$ 1.557,61",
3132008,Itacambira,MG,126,0,0,0,126,0,0,0,315,315,"R$ 53,00","R$ 40,00","R$ 102,00","R$ 979,00","R$ 1.174,00",50,4,17,382,453,"1,06",10,6,"2,562827225","2,591611479","R$ 0,00","R$ 0,00","R$ 0,00","R$ 807,29","R$ 807,29",
3132107,Itacarambi,MG,5.339,0,0,0,5.339,0,0,0,"13347,5","13347,5",-,-,"R$ 211,00","R$ 39.191,00","R$ 39.402,00",-,-,33,3176,3209,0,0,"6,393939394","12,33973552","12,27859146","R$ 0,00","R$ 0,00","R$ 0,00","R$ 164.704,62","R$ 164.704,62",
3132206,Itaguara,MG,54,0,0,0,54,0,0,0,135,135,-,"R$ 255,00","R$ 6.199,00","R$ 10.853,00","R$ 17.307,00",-,13,420,1012,1445,0,"19,61538462","14,75952381","10,7243083","11,97716263","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.447,78","R$ 1.447,78",
3132305,Itaipé,MG,292,0,0,0,292,0,0,0,730,730,-,"R$ 6.939,00","R$ 678,00","R$ 4.240,00","R$ 11.857,00",-,400,102,682,1184,0,"17,3475","6,647058824","6,217008798","10,01435811","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.538,42","R$ 4.538,42",
3132404,Itajubá,MG,103,0,0,0,103,0,0,0,"257,5","257,5",-,"R$ 649,00","R$ 166,00","R$ 9.557,00","R$ 10.372,00",-,29,10,316,355,0,"22,37931034","16,6","30,24367089","29,21690141","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.787,75","R$ 7.787,75",
3132503,Itamarandiba,MG,1.115,0,495,0,620,0,495,0,1550,2045,"R$ 8,00","R$ 23.027,00","R$ 1.280,00","R$ 5.834,00","R$ 30.149,00",3,539,160,1544,2246,"2,666666667","42,72170686",8,"3,778497409","13,42341941","R$ 0,00","R$ 21.147,24","R$ 0,00","R$ 5.856,67","R$ 27.003,92",
3132602,Itamarati de Minas,MG,44,0,0,0,44,0,0,0,110,110,-,"R$ 1.683,00",-,"R$ 1.819,00","R$ 3.502,00",-,66,-,102,168,0,"25,5",0,"17,83333333","20,8452381","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.961,67","R$ 1.961,67",
3132701,Itambacuri,MG,343,0,0,0,343,0,0,0,"857,5","857,5",-,"R$ 4.844,00","R$ 441,00","R$ 3.133,00","R$ 8.418,00",-,252,53,270,575,0,"19,22222222","8,320754717","11,6037037","14,64","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.950,18","R$ 9.950,18",
3132800,Itambé do Mato Dentro,MG,0,0,0,0,0,0,0,0,0,0,-,-,"R$ 117,00","R$ 249,00","R$ 366,00",-,-,14,20,34,0,0,"8,357142857","12,45","10,76470588","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3132909,Itamogi,MG,26,0,26,0,0,0,26,0,0,26,-,"R$ 322.877,00",-,"R$ 5.703,00","R$ 328.580,00",-,10400,-,784,11184,0,"31,04586538",0,"7,274234694","29,37947067","R$ 0,00","R$ 807,19","R$ 0,00","R$ 0,00","R$ 807,19",
3133006,Itamonte,MG,34,0,0,0,34,0,0,0,85,85,-,-,-,"R$ 838,00","R$ 838,00",-,-,-,105,105,0,0,0,"7,980952381","7,980952381","R$ 0,00","R$ 0,00","R$ 0,00","R$ 678,38","R$ 678,38",
3133105,Itanhandu,MG,0,0,0,0,0,0,0,0,0,0,-,-,"R$ 23,00","R$ 927,00","R$ 950,00",-,-,3,103,106,0,0,"7,666666667",9,"8,962264151","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3133204,Itanhomi,MG,334,0,0,0,334,0,0,0,835,835,-,"R$ 6.737,00","R$ 25,00","R$ 979,00","R$ 7.741,00",-,335,4,170,509,0,"20,11044776","6,25","5,758823529","15,20825147","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.808,62","R$ 4.808,62",
3133303,Itaobim,MG,395,0,0,0,395,0,0,0,"987,5","987,5",-,-,"R$ 102,00","R$ 8.173,00","R$ 8.275,00",-,-,16,272,288,0,0,"6,375","30,04779412","28,73263889","R$ 0,00","R$ 0,00","R$ 0,00","R$ 29.672,20","R$ 29.672,20",
3133402,Itapagipe,MG,6.447,0,0,6.042,404,0,0,6042,1010,7052,"R$ 7,00",-,"R$ 291.125,00","R$ 59.109,00","R$ 350.241,00",2,-,25000,4013,29015,"3,5",0,"11,645","14,72937952","12,07103222","R$ 0,00","R$ 0,00","R$ 70.359,09","R$ 14.876,67","R$ 85.235,76",
3133501,Itapecerica,MG,144,0,0,0,144,0,0,0,360,360,-,"R$ 14.211,00","R$ 729,00","R$ 17.645,00","R$ 32.585,00",-,395,92,2417,2904,0,"35,97721519","7,923913043","7,300372362","11,22073003","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.628,13","R$ 2.628,13",
3133600,Itapeva,MG,136,0,0,0,136,0,0,0,340,340,-,-,-,"R$ 41.972,00","R$ 41.972,00",-,-,-,582,582,0,0,0,"72,11683849","72,11683849","R$ 0,00","R$ 0,00","R$ 0,00","R$ 24.519,73","R$ 24.519,73",
3133709,Itatiaiuçu,MG,262,0,0,0,262,0,0,0,655,655,-,-,"R$ 187,00","R$ 3.527,00","R$ 3.714,00",-,-,22,235,257,0,0,"8,5","15,00851064","14,45136187","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.830,57","R$ 9.830,57",
3133758,Itaú de Minas,MG,0,0,0,0,0,0,0,0,0,0,-,"R$ 210,00",-,"R$ 12.836,00","R$ 13.046,00",-,9,-,2050,2059,0,"23,33333333",0,"6,261463415","6,336085478","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3133808,Itaúna,MG,194,0,0,0,194,0,0,0,485,485,-,-,"R$ 74,00","R$ 2.840,00","R$ 2.914,00",-,-,10,301,311,0,0,"7,4","9,435215947","9,36977492","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.576,08","R$ 4.576,08",
3133907,Itaverava,MG,87,0,0,0,87,0,0,0,"217,5","217,5",-,-,"R$ 785,00","R$ 6.752,00","R$ 7.537,00",-,-,141,639,780,0,0,"5,567375887","10,56651017","9,662820513","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.298,22","R$ 2.298,22",
3134004,Itinga,MG,668,0,0,0,668,0,0,0,1670,1670,-,-,"R$ 360,00","R$ 6.092,00","R$ 6.452,00",-,-,45,416,461,0,0,8,"14,64423077","13,99566161","R$ 0,00","R$ 0,00","R$ 0,00","R$ 24.455,87","R$ 24.455,87",
3134103,Itueta,MG,1.790,0,261,0,1.529,0,261,0,"3822,5","4083,5",-,"R$ 21.387,00","R$ 71,00","R$ 3.038,00","R$ 24.496,00",-,670,12,391,1073,0,"31,92089552","5,916666667","7,769820972","22,82945014","R$ 0,00","R$ 8.331,35","R$ 0,00","R$ 29.700,14","R$ 38.031,49",
3134202,Ituiutaba,MG,6.994,0,0,5.375,1.619,0,0,5375,"4047,5","9422,5","R$ 33,00","R$ 74,00","R$ 513.000,00","R$ 265.798,00","R$ 778.905,00",10,4,38000,50353,88367,"3,3","18,5","13,5","5,278692431","8,81443299","R$ 0,00","R$ 0,00","R$ 72.562,50","R$ 21.365,51","R$ 93.928,01",
3134301,Itumirim,MG,0,0,0,0,0,0,0,0,0,0,-,"R$ 11.561,00","R$ 130,00","R$ 12.347,00","R$ 24.038,00",-,359,9,1831,2199,0,"32,20334262","14,44444444","6,743309667","10,93133242","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3134400,Iturama,MG,17.488,0,0,16.466,1023,0,0,16466,"2557,5","19023,5",-,-,"R$ 373.176,00","R$ 87.309,00","R$ 460.485,00",-,-,36500,10503,47003,0,0,"10,224","8,312767781","9,796927856","R$ 0,00","R$ 0,00","R$ 168.348,38","R$ 21.259,90","R$ 189.608,29",
3134509,Itutinga,MG,0,0,0,0,0,0,0,0,0,0,-,"R$ 3.554,00",-,"R$ 65.730,00","R$ 69.284,00",-,100,-,9604,9704,0,"35,54",0,"6,844023324","7,139736191","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3134608,Jaboticatubas,MG,318,0,0,0,318,0,0,0,795,795,-,"R$ 213,00","R$ 1.210,00","R$ 15.171,00","R$ 16.594,00",-,8,180,440,628,0,"26,625","6,722222222","34,47954545","26,42356688","R$ 0,00","R$ 0,00","R$ 0,00","R$ 27.411,24","R$ 27.411,24",
3134707,Jacinto,MG,102,0,0,0,102,0,0,0,255,255,-,-,-,"R$ 1.108,00","R$ 1.108,00",-,-,-,166,166,0,0,0,"6,674698795","6,674698795","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.702,05","R$ 1.702,05",
3134806,Jacuí,MG,0,0,0,0,0,0,0,0,0,0,-,"R$ 96.648,00","R$ 149,00","R$ 33.251,00","R$ 130.048,00",-,3250,18,3824,7092,0,"29,73784615","8,277777778","8,695345188","18,33728144","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3134905,Jacutinga,MG,36,0,0,0,36,0,0,0,90,90,-,"R$ 94.113,00","R$ 2.393,00","R$ 5.501,00","R$ 102.007,00",-,3195,300,661,4156,0,"29,45633803","7,976666667","8,322239032","24,54451396","R$ 0,00","R$ 0,00","R$ 0,00","R$ 749,00","R$ 749,00",
3135001,Jaguaraçu,MG,20,0,0,0,20,0,0,0,50,50,-,-,"R$ 58,00","R$ 65,00","R$ 123,00",-,-,7,20,27,0,0,"8,285714286","3,25","4,555555556","R$ 0,00","R$ 0,00","R$ 0,00","R$ 162,50","R$ 162,50",
3135050,Jaíba,MG,32.530,0,11,8.657,23.862,0,11,8657,59655,68323,-,"R$ 153,00","R$ 108.315,00","R$ 730.523,00","R$ 838.991,00",-,10,8300,14757,23067,0,"15,3","13,05","49,50348987","36,37191659","R$ 0,00","R$ 168,30","R$ 112.973,85","R$ 2.953.130,69","R$ 3.066.272,84",
3135076,Jampruca,MG,25,0,0,0,25,0,0,0,"62,5","62,5",-,-,-,"R$ 902,00","R$ 902,00",-,-,-,118,118,0,0,0,"7,644067797","7,644067797","R$ 0,00","R$ 0,00","R$ 0,00","R$ 477,75","R$ 477,75",
3135100,Janaúba,MG,7.887,0,0,0,7.887,0,0,0,"19717,5","19717,5",-,-,"R$ 53,00","R$ 176.661,00","R$ 176.714,00",-,-,7,2930,2937,0,0,"7,571428571","60,29385666","60,16819884","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.188.844,12","R$ 1.188.844,12",
3135209,Januária,MG,1.388,0,0,0,1388,0,0,0,3470,3470,"R$ 110,00",-,"R$ 3.497,00","R$ 13.321,00","R$ 16.928,00",40,-,540,3703,4283,"2,75",0,"6,475925926","3,597353497","3,952369834","R$ 0,00","R$ 0,00","R$ 0,00","R$ 12.482,82","R$ 12.482,82",
3135308,Japaraíba,MG,4.732,0,0,4.710,22,0,0,4710,55,4765,"R$ 116,00",-,"R$ 46.642,00","R$ 5.137,00","R$ 51.895,00",12,-,4454,864,5330,"9,666666667",0,"10,47193534","5,945601852","9,736397749","R$ 0,00","R$ 0,00","R$ 49.322,82","R$ 327,01","R$ 49.649,82",
3135357,Japonvar,MG,32,0,0,0,32,0,0,0,80,80,"R$ 15,00",-,"R$ 825,00","R$ 1.650,00","R$ 2.490,00",16,-,125,537,678,"0,9375",0,"6,6","3,072625698","3,672566372","R$ 0,00","R$ 0,00","R$ 0,00","R$ 245,81","R$ 245,81",
3135407,Jeceaba,MG,3,0,0,0,3,0,0,0,"7,5","7,5",-,-,"R$ 276,00","R$ 4.405,00","R$ 4.681,00",-,-,29,397,426,0,0,"9,517241379","11,09571788","10,98826291","R$ 0,00","R$ 0,00","R$ 0,00","R$ 83,22","R$ 83,22",
3135456,Jenipapo de Minas,MG,45,0,0,0,45,0,0,0,"112,5","112,5",-,-,"R$ 143,00","R$ 407,00","R$ 550,00",-,-,25,155,180,0,0,"5,72","2,625806452","3,055555556","R$ 0,00","R$ 0,00","R$ 0,00","R$ 295,40","R$ 295,40",
3135506,Jequeri,MG,583,0,0,0,583,0,0,0,"1457,5","1457,5",-,"R$ 130.017,00","R$ 4.269,00","R$ 2.463,00","R$ 136.749,00",-,3600,465,716,4781,0,"36,11583333","9,180645161","3,439944134","28,6025936","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.013,72","R$ 5.013,72",
3135605,Jequitaí,MG,1.554,0,0,0,1554,0,0,0,3885,3885,-,-,"R$ 347,00","R$ 12.262,00","R$ 12.609,00",-,-,66,1137,1203,0,0,"5,257575758","10,78452067","10,48129676","R$ 0,00","R$ 0,00","R$ 0,00","R$ 41.897,86","R$ 41.897,86",
3135704,Jequitibá,MG,835,0,0,0,835,0,0,0,"2087,5","2087,5",-,-,"R$ 1.555,00","R$ 11.325,00","R$ 12.880,00",-,-,132,357,489,0,0,"11,78030303","31,72268908","26,3394683","R$ 0,00","R$ 0,00","R$ 0,00","R$ 66.221,11","R$ 66.221,11",
3135803,Jequitinhonha,MG,1.808,0,0,0,1.808,0,0,0,4520,4520,-,"R$ 2.952,00","R$ 475,00","R$ 39.622,00","R$ 43.049,00",-,60,50,1154,1264,0,"49,2","9,5","34,33448873","34,05775316","R$ 0,00","R$ 0,00","R$ 0,00","R$ 155.191,89","R$ 155.191,89",
3135902,Jesuânia,MG,0,0,0,0,0,0,0,0,0,0,"R$ 270,00","R$ 52.946,00",-,"R$ 5.295,00","R$ 58.511,00",70,1630,-,484,2184,"3,857142857","32,48220859",0,"10,94008264","26,79075092","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3136009,Joaíma,MG,526,0,42,0,484,0,42,0,1210,1252,-,"R$ 788,00","R$ 110,00","R$ 1.697,00","R$ 2.595,00",-,30,17,236,283,0,"26,26666667","6,470588235","7,190677966","9,169611307","R$ 0,00","R$ 1.103,20","R$ 0,00","R$ 8.700,72","R$ 9.803,92",
3136108,Joanésia,MG,1,0,0,0,1,0,0,0,"2,5","2,5",-,-,"R$ 354,00","R$ 841,00","R$ 1.195,00",-,-,58,254,312,0,0,"6,103448276","3,311023622","3,830128205","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8,28","R$ 8,28",
3136207,João Monlevade,MG,18,0,0,0,18,0,0,0,45,45,-,-,-,"R$ 70,00","R$ 70,00",-,-,-,8,8,0,0,0,"8,75","8,75","R$ 0,00","R$ 0,00","R$ 0,00","R$ 393,75","R$ 393,75",
3136306,João Pinheiro,MG,43.487,0,2.055,30.258,11.174,0,2055,30258,27935,60248,-,"R$ 197.386,00","R$ 497.871,00","R$ 113.816,00","R$ 809.073,00",-,3000,64200,12845,80045,0,"65,79533333","7,755","8,860724017","10,1077269","R$ 0,00","R$ 135.209,41","R$ 234.650,79","R$ 247.524,33","R$ 617.384,53",
3136405,Joaquim Felício,MG,132,0,0,0,132,0,0,0,330,330,-,-,"R$ 1.564,00","R$ 689,00","R$ 2.253,00",-,-,158,305,463,0,0,"9,898734177","2,259016393","4,866090713","R$ 0,00","R$ 0,00","R$ 0,00","R$ 745,48","R$ 745,48",
3136504,Jordânia,MG,3,0,0,0,3,0,0,0,"7,5","7,5",-,-,"R$ 205,00","R$ 1.869,00","R$ 2.074,00",-,-,33,166,199,0,0,"6,212121212","11,25903614","10,42211055","R$ 0,00","R$ 0,00","R$ 0,00","R$ 84,44","R$ 84,44",
3136520,José Gonçalves de Minas,MG,112,0,0,0,112,0,0,0,280,280,-,"R$ 6.270,00","R$ 628,00","R$ 1.392,00","R$ 8.290,00",-,190,97,280,567,0,33,"6,474226804","4,971428571","14,62081129","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.392,00","R$ 1.392,00",
3136553,José Raydan,MG,75,0,8,0,67,0,8,0,"167,5","175,5",-,"R$ 3.553,00","R$ 554,00","R$ 2.369,00","R$ 6.476,00",-,95,66,242,403,0,"37,4","8,393939394","9,789256198","16,06947891","R$ 0,00","R$ 299,20","R$ 0,00","R$ 1.639,70","R$ 1.938,90",
3136579,Josenópolis,MG,56,0,0,0,56,0,0,0,140,140,-,"R$ 37,00","R$ 54,00","R$ 891,00","R$ 982,00",-,4,9,97,110,0,"9,25",6,"9,18556701","8,927272727","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.285,98","R$ 1.285,98",
3136603,Nova União,MG,36,0,0,0,36,0,0,0,90,90,-,"R$ 63,00","R$ 376,00","R$ 88.253,00","R$ 88.692,00",-,5,33,1667,1705,0,"12,6","11,39393939","52,94121176","52,01876833","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.764,71","R$ 4.764,71",
3136652,Juatuba,MG,56,0,0,0,56,0,0,0,140,140,-,-,-,"R$ 4.843,00","R$ 4.843,00",-,-,-,486,486,0,0,0,"9,965020576","9,965020576","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.395,10","R$ 1.395,10",
3136702,Juiz de Fora,MG,374,0,0,0,374,0,0,0,935,935,-,"R$ 154,00","R$ 296,00","R$ 3.218,00","R$ 3.668,00",-,6,40,204,250,0,"25,66666667","7,4","15,7745098","14,672","R$ 0,00","R$ 0,00","R$ 0,00","R$ 14.749,17","R$ 14.749,17",
3136801,Juramento,MG,1.133,0,0,0,1.133,0,0,0,"2832,5","2832,5",-,-,"R$ 174,00","R$ 913,00","R$ 1.087,00",-,-,29,623,652,0,0,6,"1,465489567","1,667177914","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.151,00","R$ 4.151,00",
3136900,Juruaia,MG,0,0,0,0,0,0,0,0,0,0,-,"R$ 174.176,00","R$ 941,00","R$ 4.545,00","R$ 179.662,00",-,4800,138,667,5605,0,"36,28666667","6,81884058","6,814092954","32,05388046","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
3136959,Juvenília,MG,541,0,0,0,541,0,0,0,"1352,5","1352,5",-,-,"R$ 26,00","R$ 13.615,00","R$ 13.641,00",-,-,4,1397,1401,0,0,"6,5","9,745884037","9,736616702","R$ 0,00","R$ 0,00","R$ 0,00","R$ 13.181,31","R$ 13.181,31",
3137007,Ladainha,MG,134,0,0,0,134,0,0,0,335,335,-,"R$ 5.274,00","R$ 745,00","R$ 9.026,00","R$ 15.045,00",-,200,106,1556,1862,0,"26,37","7,028301887","5,800771208","8,080021482","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.943,26","R$ 1.943,26",
3137106,Lagamar,MG,2.636,0,311,0,2.325,0,311,0,"5812,5","6123,5",-,"R$ 17.220,00",-,"R$ 55.795,00","R$ 73.015,00",-,410,-,8810,9220,0,42,0,"6,333144154","7,919197397","R$ 0,00","R$ 13.062,00","R$ 0,00","R$ 36.811,40","R$ 49.873,40",
3137205,Lagoa da Prata,MG,5.908,0,0,5.874,34,0,0,5874,85,5959,-,-,"R$ 95.312,00","R$ 4.625,00","R$ 99.937,00",-,-,9200,692,9892,0,0,"10,36","6,683526012","10,10281035","R$ 0,00","R$ 0,00","R$ 60.854,64","R$ 568,10","R$ 61.422,74",
3137304,Lagoa dos Patos,MG,204,0,0,0,204,0,0,0,510,510,"R$ 8,00",-,"R$ 78,00","R$ 727,00","R$ 813,00",5,-,13,307,325,"1,6",0,6,"2,368078176","2,501538462","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.207,72","R$ 1.207,72",
3137403,Lagoa Dourada,MG,663,0,0,0,663,0,0,0,"1657,5","1657,5",-,"R$ 7.996,00",-,"R$ 150.248,00","R$ 158.244,00",-,262,-,13869,14131,0,"30,51908397",0,"10,83336938","11,19835822","R$ 0,00","R$ 0,00","R$ 0,00","R$ 17.956,31","R$ 17.956,31",
3137502,Lagoa Formosa,MG,2.036,0,495,0,1540,0,495,0,3850,4345,-,"R$ 38.100,00","R$ 40,00","R$ 188.489,00","R$ 226.629,00",-,1050,5,24247,25302,0,"36,28571429",8,"7,773703963","8,956959924","R$ 0,00","R$ 17.961,43","R$ 0,00","R$ 29.928,76","R$ 47.890,19",
