cod_mun,Município,UF,Area equipada total   ,area_arroz,Area equipada por irrigação por Municipio (Café),Area equipada por Municipio (cana de açucar, Irrigada e Fertirrigada),Area equipada por irrigação por Municipio (Outras culturas),Area potencial de ser colhida irrigada por municipio por cultura  (Arroz ),Area potencial de ser colhida irrigada por municipio por cultura  (Café),Area potencial de ser colhida irrigada por municipio por cultura (Cana),Area potencial de ser colhida irrigada por municipio por cultura (Outras Culturas),Area potencial de ser colhida irrigada por municipio por cultura ,Valor da produção total do município (1000 R$) do Arroz ,Valor da produção total do município (1000 R$) do Café ,Valor da produção total do município (1000 R$) da cana de açucar (Irrigada e Fertirrigada) ,Valor da produção total do município (1000 R$) de Outras Culturas ,Valor da produção total do município (1000 R$) ,Area Colhida por municipio (ha) de arroz ,Area Colhida por municipio (ha) Café ,Area Colhida por municipio (ha) cana de açucar (Irrigada e Fertirrigada),Area Colhida  por municipio (ha) Outras Culturas  ,Area Colhida total  (ha) por municipio ,taxa_arroz,Taxa regional media de produção de Café (1000R$/ha) ,Taxa regional media de produção de Cana (1000R$/ha) ,Taxa regional media de produção de Demais culturas (1000R$/ha) ,Taxa regional media de produção (1000R$/ha) ,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Produção irrigada por Municipio (1000 R$)
2910909,Firmino Alves,BA,0,0,0,0,0,0,0,0,0,0,-,-,-,"R$ 7.745,00","R$ 7.745,00",-,-,-,295,295,0,0,0,"26,25423729","26,25423729","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2911006,Floresta Azul,BA,0,0,0,0,0,0,0,0,0,0,-,"R$ 656,00",-,"R$ 14.934,00","R$ 15.590,00",-,25,-,2070,2095,0,"26,24",0,"7,214492754","7,441527446","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2911105,Formosa do Rio Preto,BA,4.580,0,0,0,4.580,0,0,0,11450,11450,"R$ 225,00",-,"R$ 186,00","R$ 4.890.144,00","R$ 4.890.555,00",100,-,75,607473,607648,"2,25",0,"2,48","8,04997753","8,04833555","R$ 0,00","R$ 0,00","R$ 0,00","R$ 92.172,24","R$ 92.172,24",
2911204,Gandu,BA,31,0,0,0,31,0,0,0,"77,5","77,5",-,"R$ 171,00","R$ 31,00","R$ 265.634,00","R$ 265.836,00",-,13,5,9400,9418,0,"13,15384615","6,2","28,25893617","28,22637503","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.190,07","R$ 2.190,07",
2911253,Gavião,BA,0,0,0,0,0,0,0,0,0,0,-,-,-,"R$ 332,00","R$ 332,00",-,-,-,589,589,0,0,0,"0,5636672326","0,5636672326","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2911303,Gentio do Ouro,BA,102,0,0,0,102,0,0,0,255,255,-,-,"R$ 108,00","R$ 2.456,00","R$ 2.564,00",-,-,15,721,736,0,0,"7,2","3,406380028","3,483695652","R$ 0,00","R$ 0,00","R$ 0,00","R$ 868,63","R$ 868,63",
2911402,Glória,BA,4.932,0,0,0,4.932,0,0,0,12330,12330,-,-,-,"R$ 17.210,00","R$ 17.210,00",-,-,-,2136,2136,0,0,0,"8,057116105","8,057116105","R$ 0,00","R$ 0,00","R$ 0,00","R$ 99.344,24","R$ 99.344,24",
2911501,Gongogi,BA,10,0,0,0,10,0,0,0,25,25,-,"R$ 22,00","R$ 1,00","R$ 17.036,00","R$ 17.059,00",-,3,2,1137,1142,0,"7,333333333","0,5","14,98328936","14,93782837","R$ 0,00","R$ 0,00","R$ 0,00","R$ 374,58","R$ 374,58",
2911600,Governador Mangabeira,BA,271,0,0,0,271,0,0,0,"677,5","677,5",-,-,-,"R$ 32.332,00","R$ 32.332,00",-,-,-,2273,2273,0,0,0,"14,22437308","14,22437308","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.637,01","R$ 9.637,01",
2911659,Guajeru,BA,608,0,0,0,608,0,0,0,1520,1520,-,-,-,"R$ 315,00","R$ 315,00",-,-,-,685,685,0,0,0,"0,4598540146","0,4598540146","R$ 0,00","R$ 0,00","R$ 0,00","R$ 698,98","R$ 698,98",
