fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,disp/dem,,,,dmu_nu_popurbana,ihu_nu_popriscoinerente,ihu_nu_popriscoposdeficit,ihu_nu_popriscototal,ihu_cs_ish,area_setor,area_otto,area_scbc,deman_indus,densidade,pop_urb_scbc,pop_urb_bacia,perc_scbc,ihu_rel,ire_cs_hum,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Inverso do balaço Hídrico (adm),Fator iminente,Fator pós deificit,Fator de Risco ,VAB - Municipio ,VAB (mil R$) Risco inerente, Valor de população (nº habitantes) em risco pós-déficit., Valor de população (nº habitantes) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à sua população urbana (depende da projeção da população urbana de 2035),Área total do setor censitário (km²) ,Área total da ottobacia (km²) ,Área do setor censitário interno à ottobacia (km²),Demanda industrial por BHO (m³/s) (tabela balanços  2020),Densidade da demanda industrial na BHO (m³/s . km²) (tabela balanços 2020),Demanda industrial estimada da porção do setor cencitário interno à ottobacia (m³/s) ,Demanda industrial estimada para a ottobacia (m³/s) ,Percentual da demanda industrial na porção do setor cencitário que está na ottobacia em relação à demanda industrial total da ottobacia,Classe (1-5) do Índice de Segurança Hídrica associado à população urbana da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua população urbana.,
17557,7761645,320495520000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,394","0,045","0,231","58,669","1,704480061","0,115","0,000","0,115",23.935,2.746,0,2.746,"2,00","20,39110749","19,90613639","18,977",0,0,0,0,0,"0,000","0,000",#N/A
17558,77616461,320495520000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,102","0,009","0,049","48,134","2,077544233","0,077","0,000","0,077",23.935,1.848,0,1.848,"3,00","20,39110749","1,933133336",0,0,0,0,0,0,"0,000","0,000",#N/A
17559,7761647,320495520000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,206","0,004","0,136","66,142","1,511903383","0,146","0,000","0,146",23.935,3.490,0,3.490,"2,00","20,39110749","1,796182748","0,015",0,0,0,0,0,"0,000","0,000",#N/A
17560,7761644,320495520000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,039","0,014","0,014","36,950","2,706356904","0,046","0,000","0,046",23.935,1.089,0,1.089,"3,00","20,39110749","9,03925851","0,685",0,0,0,0,0,"0,000","0,000",#N/A
17561,7761643,320495520000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,453","0,005","0,251","55,333","1,807244657","0,102","0,000","0,102",23.935,2.443,0,2.443,"2,00","20,39110749","4,804548458","0,117",0,0,0,0,0,"0,000","0,000",#N/A
17562,77616463,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,070","0,007","0,035","49,909","2,003657406","0,083","0,000","0,083",23.935,1.987,0,1.987,"3,00","24,96762081","2,728711764","2,717",0,0,0,0,0,"0,000","0,000",#N/A
17563,77616424,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,039","0,013","0,013","34,342","2,911926192","0,039","0,000","0,039",23.935,941,0,941,"3,00","24,96762081","8,980458469","0,079",0,0,0,0,0,"0,000","0,000",#N/A
17564,77616492,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,030","0,038","0,038","124,818","0,8011693845","0,267","0,199","0,466",23.935,6.392,4.759,11.151,"1,00","24,96762081","7,020252138","0,025",0,0,0,0,0,"0,000","0,000",#N/A
17565,77616465,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,033","0,022","0,022","67,273","1,486477123","0,151","0,000","0,151",23.935,3.611,0,3.611,"2,00","24,96762081","7,785450456","7,272",0,0,0,0,0,"0,000","0,000",#N/A
17566,77616464,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,024","0,005","0,005","21,929","4,560077334","0,016","0,000","0,016",23.935,384,0,384,"3,00","24,96762081","5,686954991","5,518",0,0,0,0,0,"0,000","0,000",#N/A
17567,77616462,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,025","0,006","0,006","22,473","4,449831428","0,017","0,000","0,017",23.935,403,0,403,"3,00","24,96762081","5,747268497","5,489",0,0,0,0,0,"0,000","0,000",#N/A
17568,7761645,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,394","0,045","0,231","58,669","1,704480061","0,115","0,000","0,115",23.935,2.746,0,2.746,"2,00","24,96762081","19,90613639","0,288",0,0,0,0,0,"0,000","0,000",#N/A
17569,77616425,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,110","0,013","0,013","11,778","8,490689736","0,005","0,000","0,005",23.935,111,0,111,"3,00","24,96762081","25,61178981","0,294",0,0,0,0,0,"0,000","0,000",#N/A
17570,77616461,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,102","0,009","0,049","48,134","2,077544233","0,077","0,000","0,077",23.935,1.848,0,1.848,"3,00","24,96762081","1,933133336","1,907",0,0,0,0,0,"0,000","0,000",#N/A
17571,776172324,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,006","0,009","0,009","157,277","0,6358225057","0,212","0,364","0,576",23.935,5.073,8.717,13.789,"1,00","24,96762081","5,397338952","0,003",0,0,0,0,0,"0,000","0,000",#N/A
17572,776172322,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,008","0,019","0,019","239,756","0,4170901408","0,139","0,583","0,722",23.935,3.328,13.952,17.280,"1,00","24,96762081","7,382017166","0,013",0,0,0,0,0,"0,000","0,000",#N/A
17573,776172325,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,017","0,004","0,004","25,300","3,952595417","0,021","0,000","0,021",23.935,511,0,511,"3,00","24,96762081","15,60808787","0,01",0,0,0,0,0,"0,000","0,000",#N/A
17574,7761647,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,206","0,004","0,136","66,142","1,511903383","0,146","0,000","0,146",23.935,3.490,0,3.490,"2,00","24,96762081","1,796182748","0,407",0,0,0,0,0,"0,000","0,000",#N/A
17575,77616491,320495520000003,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,153","0,020","0,109","71,424","1,400083994","0,170","0,000","0,170",23.935,4.070,0,4.070,"2,00","24,96762081","8,983259613","0,945",0,0,0,0,0,"0,000","0,000",#N/A
17576,77616424,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,039","0,013","0,013","34,342","2,911926192","0,039","0,000","0,039",23.935,941,0,941,"3,00","25,74362883","8,980458469","0,418",0,0,0,0,0,"0,000","0,000",#N/A
17577,7761651,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"2,324","0,011","0,741","31,874","3,13738385","0,034","0,000","0,034",23.935,811,0,811,"3,00","25,74362883","10,6714639","0,437",0,0,0,0,0,"0,000","0,000",#N/A
17578,7761645,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,394","0,045","0,231","58,669","1,704480061","0,115","0,000","0,115",23.935,2.746,0,2.746,"2,00","25,74362883","19,90613639","0,003",0,0,0,0,0,"0,000","0,000",#N/A
17579,77616413,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,742","0,012","0,314","42,270","2,365747789","0,060","0,000","0,060",23.935,1.426,0,1.426,"3,00","25,74362883","9,659371546","8,474",0,0,0,0,0,"0,000","0,000",#N/A
17580,77616411,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,788","0,005","0,332","42,056","2,377783755","0,059","0,000","0,059",23.935,1.411,0,1.411,"3,00","25,74362883","3,991142238","3,921",0,0,0,0,0,"0,000","0,000",#N/A
17581,7761616,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,026","0,000","0,000","0,794","126,0174754","0,000","0,000","0,000",23.935,1,0,1,"5,00","25,74362883","5,944701307","0,026",0,0,0,0,0,"0,000","0,000",#N/A
17582,7761614,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,080","0,028","0,028","35,023","2,855296993","0,041","0,000","0,041",23.935,979,0,979,"3,00","25,74362883","18,71857897","0,148",0,0,0,0,0,"0,000","0,000",#N/A
17583,77616412,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,029","0,013","0,013","44,341","2,2552389","0,066","0,000","0,066",23.935,1.569,0,1.569,"3,00","25,74362883","6,846498665","6,386",0,0,0,0,0,"0,000","0,000",#N/A
17584,7761643,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,453","0,005","0,251","55,333","1,807244657","0,102","0,000","0,102",23.935,2.443,0,2.443,"2,00","25,74362883","4,804548458","4,417",0,0,0,0,0,"0,000","0,000",#N/A
17585,776164222,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,036","0,007","0,007","18,821","5,313254105","0,012","0,000","0,012",23.935,283,0,283,"3,00","25,74362883","8,321441788","0,118",0,0,0,0,0,"0,000","0,000",#N/A
17586,77616423,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,152","0,001","0,028","18,178","5,501133775","0,011","0,000","0,011",23.935,264,0,264,"3,00","25,74362883","0,8191720153","0,489",0,0,0,0,0,"0,000","0,000",#N/A
17587,776163,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"3,159","0,010","1,082","34,261","2,918732413","0,039","0,000","0,039",23.935,937,0,937,"3,00","25,74362883","10,97815407","0,21","0,000655","0,00005966394676","0,00001252942882","0,0006550504715","0,01912889896","0,057","3,000",Médio
17588,77616421,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,247","0,001","0,051","20,652","4,842159499","0,014","0,000","0,014",23.935,340,0,340,"3,00","25,74362883","0,7505898355","0,476",0,0,0,0,0,"0,000","0,000",#N/A
17589,7761653,320495520000004,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"2,243","0,034","0,724","32,296","3,096383954","0,035","0,000","0,035",23.935,832,0,832,"3,00","25,74362883","27,15343471","0,22","0,000514","0,0000189294653","0,000004164482365","0,0005139917712","0,008102105769","0,024","3,000",Médio
17590,77616493,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,084","0,016","0,058","69,541","1,438005418","0,161","0,000","0,161",23.935,3.858,0,3.858,"2,00","49,15893139","3,472023785","3,472",0,0,0,0,0,"0,000","0,000",#N/A
17591,77616463,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,070","0,007","0,035","49,909","2,003657406","0,083","0,000","0,083",23.935,1.987,0,1.987,"3,00","49,15893139","2,728711764","0,012",0,0,0,0,0,"0,000","0,000",#N/A
17592,7761723622,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,006","0,002","0,002","33,666","2,97035957","0,038","0,000","0,038",23.935,904,0,904,"3,00","49,15893139","5,528892158","0,009",0,0,0,0,0,"0,000","0,000",#N/A
17593,77616492,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,030","0,038","0,038","124,818","0,8011693845","0,267","0,199","0,466",23.935,6.392,4.759,11.151,"1,00","49,15893139","7,020252138","6,837",0,0,0,0,0,"0,000","0,000",#N/A
17594,7761648,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,046","0,023","0,023","50,890","1,965033252","0,086","0,000","0,086",23.935,2.066,0,2.066,"3,00","49,15893139","10,70709051","10,111",0,0,0,0,0,"0,000","0,000",#N/A
17595,77616465,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,033","0,022","0,022","67,273","1,486477123","0,151","0,000","0,151",23.935,3.611,0,3.611,"2,00","49,15893139","7,785450456","0,038",0,0,0,0,0,"0,000","0,000",#N/A
17596,77616464,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,024","0,005","0,005","21,929","4,560077334","0,016","0,000","0,016",23.935,384,0,384,"3,00","49,15893139","5,686954991","0,169",0,0,0,0,0,"0,000","0,000",#N/A
17597,7761645,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,394","0,045","0,231","58,669","1,704480061","0,115","0,000","0,115",23.935,2.746,0,2.746,"2,00","49,15893139","19,90613639","0,32",0,0,0,0,0,"0,000","0,000",#N/A
17598,77616924,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,034","0,009","0,009","26,600","3,759387301","0,024","0,000","0,024",23.935,565,0,565,"3,00","49,15893139","7,985708229","0,001",0,0,0,0,0,"0,000","0,000",#N/A
17599,7761676,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,028","0,018","0,018","66,115","1,512515597","0,146","0,000","0,146",23.935,3.487,0,3.487,"2,00","49,15893139","6,501991773","0,137",0,0,0,0,0,"0,000","0,000",#N/A
17600,77616913,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,781","0,014","0,316","40,444","2,472555672","0,055","0,000","0,055",23.935,1.305,0,1.305,"3,00","49,15893139","5,712727519","0,069",0,0,0,0,0,"0,000","0,000",#N/A
17601,77616461,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,102","0,009","0,049","48,134","2,077544233","0,077","0,000","0,077",23.935,1.848,0,1.848,"3,00","49,15893139","1,933133336","0,026",0,0,0,0,0,"0,000","0,000",#N/A
17602,7761675,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"1,486","0,024","0,486","32,719","3,056356506","0,036","0,000","0,036",23.935,854,0,854,"3,00","49,15893139","12,73166937","0,17",0,0,0,0,0,"0,000","0,000",#N/A
17603,7761647,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,206","0,004","0,136","66,142","1,511903383","0,146","0,000","0,146",23.935,3.490,0,3.490,"2,00","49,15893139","1,796182748","1,327",0,0,0,0,0,"0,000","0,000",#N/A
17604,7761644,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,039","0,014","0,014","36,950","2,706356904","0,046","0,000","0,046",23.935,1.089,0,1.089,"3,00","49,15893139","9,03925851","0,017",0,0,0,0,0,"0,000","0,000",#N/A
17605,7761656,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,037","0,017","0,017","44,452","2,249599396","0,066","0,000","0,066",23.935,1.577,0,1.577,"3,00","49,15893139","8,723194624","0,588","0,000126","0,00001444424955","0,000008493218734","0,0001259971888","0,06740649789","0,202","3,000",Médio
17606,77616922,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,023","0,007","0,007","29,798","3,355924628","0,030","0,000","0,030",23.935,708,0,708,"3,00","49,15893139","5,322037233","2,091",0,0,0,0,0,"0,000","0,000",#N/A
17607,77616494,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,026","0,024","0,024","92,151","1,085174183","0,283","0,000","0,283",23.935,6.775,0,6.775,"2,00","49,15893139","6,146193058","6,112",0,0,0,0,0,"0,000","0,000",#N/A
17608,7761723623,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,007","0,000","0,000","3,540","28,25018349","0,000","0,000","0,000",23.935,10,0,10,"5,00","49,15893139","6,524380195","0,001",0,0,0,0,0,"0,000","0,000",#N/A
17609,77616491,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,153","0,020","0,109","71,424","1,400083994","0,170","0,000","0,170",23.935,4.070,0,4.070,"2,00","49,15893139","8,983259613","7,999",0,0,0,0,0,"0,000","0,000",#N/A
17610,77616495,320495520000005,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,043","0,018","0,018","42,909","2,330526897","0,061","0,000","0,061",23.935,1.469,0,1.469,"3,00","49,15893139","9,997684822","9,654",0,0,0,0,0,"0,000","0,000",#N/A
17611,776164221,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,093","0,006","0,022","24,258","4,122341926","0,020","0,000","0,020",23.935,469,0,469,"3,00","23,17161653","3,309766416","3,069",0,0,0,0,0,"0,000","0,000",#N/A
17612,77616413,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,742","0,012","0,314","42,270","2,365747789","0,060","0,000","0,060",23.935,1.426,0,1.426,"3,00","23,17161653","9,659371546","1,152",0,0,0,0,0,"0,000","0,000",#N/A
17613,77616425,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,110","0,013","0,013","11,778","8,490689736","0,005","0,000","0,005",23.935,111,0,111,"3,00","23,17161653","25,61178981","0,133",0,0,0,0,0,"0,000","0,000",#N/A
17614,7761614,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,080","0,028","0,028","35,023","2,855296993","0,041","0,000","0,041",23.935,979,0,979,"3,00","23,17161653","18,71857897","0,062",0,0,0,0,0,"0,000","0,000",#N/A
17615,776164223,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,043","0,009","0,009","22,122","4,520324348","0,016","0,000","0,016",23.935,390,0,390,"3,00","23,17161653","9,932391415","9,467",0,0,0,0,0,"0,000","0,000",#N/A
17616,776172144,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,006","0,006","0,006","99,756","1,002443196","0,332","0,000","0,332",23.935,7.939,0,7.939,"1,00","23,17161653","5,610065848","0,192",0,0,0,0,0,"0,000","0,000",#N/A
17617,776172145,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,006","0,009","0,009","147,832","0,6764434697","0,225","0,324","0,549",23.935,5.397,7.744,13.141,"1,00","23,17161653","5,93645318","0,018",0,0,0,0,0,"0,000","0,000",#N/A
17618,77616412,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,029","0,013","0,013","44,341","2,2552389","0,066","0,000","0,066",23.935,1.569,0,1.569,"3,00","23,17161653","6,846498665","0,435",0,0,0,0,0,"0,000","0,000",#N/A
17619,776164222,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,036","0,007","0,007","18,821","5,313254105","0,012","0,000","0,012",23.935,283,0,283,"3,00","23,17161653","8,321441788","8,077",0,0,0,0,0,"0,000","0,000",#N/A
17620,77616423,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,152","0,001","0,028","18,178","5,501133775","0,011","0,000","0,011",23.935,264,0,264,"3,00","23,17161653","0,8191720153","0,285",0,0,0,0,0,"0,000","0,000",#N/A
17621,776172142,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,023","0,054","0,054","234,581","0,4262915629","0,142","0,574","0,716",23.935,3.401,13.732,17.133,"1,00","23,17161653","21,27693679","0,007",0,0,0,0,0,"0,000","0,000",#N/A
17622,77616421,320495520000006,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,247","0,001","0,051","20,652","4,842159499","0,014","0,000","0,014",23.935,340,0,340,"3,00","23,17161653","0,7505898355","0,275",0,0,0,0,0,"0,000","0,000",#N/A
17623,7761651,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"2,324","0,011","0,741","31,874","3,13738385","0,034","0,000","0,034",23.935,811,0,811,"3,00","23,34020348","10,6714639","4,141",0,0,0,0,0,"0,000","0,000",#N/A
17624,7761648,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,046","0,023","0,023","50,890","1,965033252","0,086","0,000","0,086",23.935,2.066,0,2.066,"3,00","23,34020348","10,70709051","0,024",0,0,0,0,0,"0,000","0,000",#N/A
17625,7761645,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,394","0,045","0,231","58,669","1,704480061","0,115","0,000","0,115",23.935,2.746,0,2.746,"2,00","23,34020348","19,90613639","0,068",0,0,0,0,0,"0,000","0,000",#N/A
17626,77616413,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,742","0,012","0,314","42,270","2,365747789","0,060","0,000","0,060",23.935,1.426,0,1.426,"3,00","23,34020348","9,659371546","0,034",0,0,0,0,0,"0,000","0,000",#N/A
17627,77616411,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,788","0,005","0,332","42,056","2,377783755","0,059","0,000","0,059",23.935,1.411,0,1.411,"3,00","23,34020348","3,991142238","0,035",0,0,0,0,0,"0,000","0,000",#N/A
17628,7761644,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,039","0,014","0,014","36,950","2,706356904","0,046","0,000","0,046",23.935,1.089,0,1.089,"3,00","23,34020348","9,03925851","7,893",0,0,0,0,0,"0,000","0,000",#N/A
17629,7761643,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,453","0,005","0,251","55,333","1,807244657","0,102","0,000","0,102",23.935,2.443,0,2.443,"2,00","23,34020348","4,804548458","0,27",0,0,0,0,0,"0,000","0,000",#N/A
17630,7761656,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,037","0,017","0,017","44,452","2,249599396","0,066","0,000","0,066",23.935,1.577,0,1.577,"3,00","23,34020348","8,723194624","0,104","0,000126","0,00001444424955","0,000001502201953","0,0001259971888","0,01192223772","0,036","3,000",Médio
17631,7761653,320495520000007,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"2,243","0,034","0,724","32,296","3,096383954","0,035","0,000","0,035",23.935,832,0,832,"3,00","23,34020348","27,15343471","10,772","0,000514","0,0000189294653","0,0002039082002","0,0005139917712","0,3967085606","1,190","3,000",Médio
17632,77616424,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,039","0,013","0,013","34,342","2,911926192","0,039","0,000","0,039",23.935,941,0,941,"3,00","33,66618381","8,980458469","7,944",0,0,0,0,0,"0,000","0,000",#N/A
17633,776164221,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,093","0,006","0,022","24,258","4,122341926","0,020","0,000","0,020",23.935,469,0,469,"3,00","33,66618381","3,309766416","0,241",0,0,0,0,0,"0,000","0,000",#N/A
17634,77616462,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,025","0,006","0,006","22,473","4,449831428","0,017","0,000","0,017",23.935,403,0,403,"3,00","33,66618381","5,747268497","0,238",0,0,0,0,0,"0,000","0,000",#N/A
17635,7761645,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,394","0,045","0,231","58,669","1,704480061","0,115","0,000","0,115",23.935,2.746,0,2.746,"2,00","33,66618381","19,90613639","0,251",0,0,0,0,0,"0,000","0,000",#N/A
17636,77616425,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,110","0,013","0,013","11,778","8,490689736","0,005","0,000","0,005",23.935,111,0,111,"3,00","33,66618381","25,61178981","24,69",0,0,0,0,0,"0,000","0,000",#N/A
17637,77617216,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,052","0,094","0,094","182,278","0,5486133668","0,183","0,451","0,634",23.935,4.377,10.804,15.181,"1,00","33,66618381","47,89528594","0,028","0,000309","0,000006451574386","0,0000001806440828","0,0003090046068","0,0005846086823","0,001","1,000",Mínimo
17638,776164223,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,043","0,009","0,009","22,122","4,520324348","0,016","0,000","0,016",23.935,390,0,390,"3,00","33,66618381","9,932391415","0,23",0,0,0,0,0,"0,000","0,000",#N/A
17639,77616423,320495520000008,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,152","0,001","0,028","18,178","5,501133775","0,011","0,000","0,011",23.935,264,0,264,"3,00","33,66618381","0,8191720153","0,046",0,0,0,0,0,"0,000","0,000",#N/A
17640,7761626,320495525000001,Urbana,3204955,São Roque do Canaã,Espírito Santo,2,"0,081","0,032","0,032","39,133","2,555374389","0,051","0,000","0,051",23.935,1.222,0,1.222,"3,00","1,397235141","18,97459388","1,397",0,0,0,0,0,"0,000","0,000",#N/A
17641,7761657,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"2,047","0,025","0,643","31,427","3,18194136","0,033","0,000","0,033",23.935,788,0,788,"3,00","58,96236006","14,74757758","0,092","0,000517","0,00003505660487","0,000003225207648","0,0005170148086","0,006238312665","0,019","3,000",Médio
17642,77613882,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,029","0,019","0,019","65,289","1,531647618","0,142","0,000","0,142",23.935,3.401,0,3.401,"2,00","58,96236006","6,784622528","0,097",0,0,0,0,0,"0,000","0,000",#N/A
17643,77616184,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,045","0,005","0,005","11,030","9,06578722","0,004","0,000","0,004",23.935,97,0,97,"3,00","58,96236006","10,50554014","0,328",0,0,0,0,0,"0,000","0,000",#N/A
17644,7761624,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,051","0,028","0,028","54,822","1,82407927","0,100","0,000","0,100",23.935,2.398,0,2.398,"2,00","58,96236006","11,79430986","0,137",0,0,0,0,0,"0,000","0,000",#N/A
17645,7761628,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,026","0,007","0,007","26,124","3,827920821","0,023","0,000","0,023",23.935,544,0,544,"3,00","58,96236006","6,15527361","6,133",0,0,0,0,0,"0,000","0,000",#N/A
17646,7761654,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,038","0,023","0,023","60,910","1,64175599","0,124","0,000","0,124",23.935,2.960,0,2.960,"2,00","58,96236006","8,843366372","0,079","0,000361","0,00004082155876","0,000003224903142","0,0003609850441","0,008933249701","0,018","2,000",Baixo
17647,7761389,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,152","0,026","0,026","16,783","5,958442713","0,009","0,000","0,009",23.935,225,0,225,"3,00","58,96236006","35,53567143","10,096",0,0,0,0,0,"0,000","0,000",#N/A
17648,7761625,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,217","0,017","0,074","34,293","2,916011984","0,039","0,000","0,039",23.935,938,0,938,"3,00","58,96236006","9,245289728","8,679",0,0,0,0,0,"0,000","0,000",#N/A
17649,77613947,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,118","0,028","0,028","23,715","4,216711437","0,019","0,000","0,019",23.935,449,0,449,"3,00","58,96236006","27,59903351","0,129",0,0,0,0,0,"0,000","0,000",#N/A
17650,7761623,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,298","0,017","0,119","39,739","2,516390575","0,053","0,000","0,053",23.935,1.260,0,1.260,"3,00","58,96236006","7,258582944","0,016",0,0,0,0,0,"0,000","0,000",#N/A
17651,7761627,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,096","0,002","0,026","26,995","3,704358138","0,024","0,000","0,024",23.935,581,0,581,"3,00","58,96236006","0,3151638934","0,315",0,0,0,0,0,"0,000","0,000",#N/A
17652,77613881,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,149","0,024","0,056","37,898","2,63869028","0,048","0,000","0,048",23.935,1.146,0,1.146,"3,00","58,96236006","8,910034847","0,123",0,0,0,0,0,"0,000","0,000",#N/A
17653,7761629,320495525000002,Rural,3204955,São Roque do Canaã,Espírito Santo,8,"0,068","0,017","0,017","25,536","3,916002581","0,022","0,000","0,022",23.935,520,0,520,"3,00","58,96236006","15,89611025","15,585",0,0,0,0,0,"0,000","0,000",#N/A
