fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,disp/dem,,,,dmu_nu_popurbana,ihu_nu_popriscoinerente,ihu_nu_popriscoposdeficit,ihu_nu_popriscototal,ihu_cs_ish,area_setor,area_otto,area_scbc,deman_indus,densidade,pop_urb_scbc,pop_urb_bacia,perc_scbc,ihu_rel,ire_cs_hum,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Inverso do balaço Hídrico (adm),Fator iminente,Fator pós deificit,Fator de Risco ,VAB - Municipio ,VAB (mil R$) Risco inerente, Valor de população (nº habitantes) em risco pós-déficit., Valor de população (nº habitantes) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à sua população urbana (depende da projeção da população urbana de 2035),Área total do setor censitário (km²) ,Área total da ottobacia (km²) ,Área do setor censitário interno à ottobacia (km²),Demanda industrial por BHO (m³/s) (tabela balanços  2020),Densidade da demanda industrial na BHO (m³/s . km²) (tabela balanços 2020),Demanda industrial estimada da porção do setor cencitário interno à ottobacia (m³/s) ,Demanda industrial estimada para a ottobacia (m³/s) ,Percentual da demanda industrial na porção do setor cencitário que está na ottobacia em relação à demanda industrial total da ottobacia,Classe (1-5) do Índice de Segurança Hídrica associado à população urbana da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua população urbana.,
149,777496,320010213000003,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,309","0,003","0,003","0,825","121,1729898","0,000","0,000","0,000",48.980,1,0,1,"5,00","21,80792145","48,76332765","0,027",0,0,0,0,0,"0,000","0,000",#N/A
150,77618862,320010213000003,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029","0,000","0,000","1,128","88,63489912","0,000","0,000","0,000",48.980,2,0,2,"5,00","21,80792145","7,067134162","6,62","0,0000157","0,000002221551146","0,00001470666859","0,00001569970195","0,9367304834","4,684","5,000",Máximo
151,77618861,320010213000003,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,166","0,011","0,016","9,812","10,19131902","0,003","0,000","0,003",48.980,157,0,157,"3,00","21,80792145","8,590085233","2,172","0,0000078","0,0000009080235863","0,000001972227229","0,000007799922606","0,2528496448","0,759","3,000",Médio
152,77618653,320010215000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,426","0,002","0,108","7,570","13,21020347","0,002","0,000","0,002",48.980,94,0,94,"3,00","0,1123538344","5,726099055","0,092","0,0000231","0,000004034160041","0,0000003711427238","0,00002310363456","0,01606678458","0,048","3,000",Médio
153,77618671,320010215000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"1,174","0,000","0,095","8,090","12,36087328","0,002","0,000","0,002",48.980,107,0,107,"3,00","0,1123538344","0,8970491739","0,021","0,00000424","0,000004726608221","0,00000009925877264","0,000004244494182","0,02341008789","0,070","3,003",Médio
154,776187162,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,027","0,003","0,003","11,876","8,420061382","0,005","0,000","0,005",48.980,230,0,230,"3,00","36,58614078","6,458769275","0,155",0,0,0,0,0,"0,000","0,000",#N/A
155,77618661,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,229","0,004","0,011","4,647","21,51832271","0,001","0,000","0,001",48.980,35,0,35,"3,00","36,58614078","9,874308904","0,04",0,0,0,0,0,"0,000","0,000",#N/A
156,77618653,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,426","0,002","0,108","7,570","13,21020347","0,002","0,000","0,002",48.980,94,0,94,"3,00","36,58614078","5,726099055","5,185","0,0000231","0,000004034160041","0,00002091711981","0,00002310363456","0,9055030222","2,717","3,000",Médio
157,776187163,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029","0,005","0,005","16,063","6,225375668","0,009","0,000","0,009",48.980,421,0,421,"3,00","36,58614078","7,070060083","0,043",0,0,0,0,0,"0,000","0,000",#N/A
158,77618641,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,132","0,001","0,016","12,281","8,142984782","0,005","0,000","0,005",48.980,246,0,246,"3,00","36,58614078","3,433630431","0,413",0,0,0,0,0,"0,000","0,000",#N/A
159,77618636,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,055","0,006","0,006","10,877","9,194124071","0,004","0,000","0,004",48.980,193,0,193,"3,00","36,58614078","13,34744771","7,816",0,0,0,0,0,"0,000","0,000",#N/A
160,77618652,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,032","0,008","0,008","26,474","3,777238125","0,023","0,000","0,023",48.980,1.144,0,1.144,"3,00","36,58614078","7,751031355","6,586",0,0,0,0,0,"0,000","0,000",#N/A
161,77618714,320010215000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,058","0,002","0,002","2,786","35,8955342","0,000","0,000","0,000",48.980,13,0,13,"4,00","36,58614078","13,91612568","0,414",0,0,0,0,0,"0,000","0,000",#N/A
