Unnamed: 0,id,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,dmu_nu_poptotal,dmu_nu_popurbana,dmu_nu_poprural,ihu_pc_cobrede,classe_ish_mun,area_setor,area_otto,area_scbc,pop,pop_urb_scbc,pop_urb_bacia,ihu_rel,classe_ish_otto,disp_por_dem,fator_iminente,fator_pos_deficit,fator_de_risco_total,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total
27,28,7761896,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,078","0,015","0,015","19,754",172981,18362,,"0,812",Alto,"43,25395984","18,78872981","0,007",545,0,"122,5614571",0,Alto,5.062265870203503,0.013007350533333331,0.0,0.013007350533333331,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
28,29,77618741,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018",172981,18362,,"0,812",Alto,"43,25395984","8,876456731","0,018",545,0,0,0,,14.249073810202336,0.0016417441333333332,0.0,0.0016417441333333332,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
29,30,77618951,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,635",0,"0,097","15,213",172981,18362,,"0,812",Alto,"43,25395984","4,10414405","0,134",545,0,0,0,,6.5733254453428,0.007714512299999998,0.0,0.007714512299999998,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
30,31,7761875,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,06","0,003","0,354","17,171",172981,18362,,"0,812",Alto,"43,25395984","7,532201575","0,04",545,0,"2,768224128",0,Alto,5.823772639916138,0.009828108033333331,0.0,0.009828108033333331,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
31,32,7761891,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,063","0,039","0,157","14,801",172981,18362,,"0,812",Alto,"43,25395984","14,185514","5,054",545,0,"1201,591871",0,Alto,6.756300249983109,0.007302320033333332,0.0,0.007302320033333332,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
32,33,77618952,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029",0,0,"0,856",172981,18362,,"0,812",Alto,"43,25395984","6,972290287","0,106",545,0,0,0,,116.82242990654206,2.4424533333333333e-05,0.0,2.4424533333333333e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
33,34,7761893,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,922",0,"0,113","12,216",172981,18362,,"0,812",Alto,"43,25395984","4,960294806","2,753",545,0,0,0,,8.185985592665357,0.004974355199999999,0.0,0.004974355199999999,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
34,35,77618746,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,03",0,0,"1,037",172981,18362,,"0,812",Alto,"43,25395984","7,190958538","0,072",545,0,0,0,,96.43201542912247,3.584563333333333e-05,0.0,3.584563333333333e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
35,36,7761842,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,038","0,003","0,003","7,136",172981,18362,,"0,812",Alto,"28,93147498","9,169406532","0,426",513,0,0,0,,14.013452914798206,0.0016974165333333334,0.0,0.0016974165333333334,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
36,37,7761846,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,121","0,018","0,018","15,009",172981,18362,,"0,812",Alto,"28,93147498","29,28586492","0,48",513,0,0,0,,6.66266906522753,0.0075090027000000005,0.0,0.0075090027000000005,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
